ano4,trimestre,IPC
2017,1,103.79473333333333
2017,2,110.50543333333333
2017,3,115.82953333333334
2017,4,121.81060000000001
2018,1,130.2696
2018,2,140.5254
2018,3,156.59426666666664
2018,4,178.89
2019,1,197.08373333333336
2019,2,218.64556666666667
2019,3,239.96123333333333
2019,4,270.7298333333333
2020,1,293.4852333333333
2020,2,311.66886666666664
2020,3,331.75893333333335
2020,4,364.5444
2021,1,405.79490000000004
2021,2,456.48836666666665
2021,3,500.0944
2021,4,552.0825666666666
2022,1,625.2638000000001
2022,2,738.6209333333333
2022,3,890.4746666666666
2022,4,1060.0556666666669
2023,1,1266.487
2023,2,1584.2496666666666
2023,3,2017.2383333333335
2023,4,2889.2143333333333
2024,1,4726.858333333334
2024,2,6039.016333333333
2024,3,6816.588
2024,4,7473.081999999999
2025,1,8053.766666666666
2025,2,8691.376400000001
2025,3,9193.210366666666
2025,4,9602.5137
